id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7642962,Truly Beachfront Home. Breezy sunrises and sunsets,27915952,Brittany,Belize,Belize Islands,17.75867,-88.02474,Entire home/apt,874,1,43,2025-03-19,0.44,2,332,13,
7885018,"Oceanfront, five private porches, panoramic views!",41566808,Jeanette,Belize,Belize Islands,18.00074,-87.94247,Entire home/apt,725,5,24,2025-01-02,0.21,1,184,3,
7948162,Magnificent Belize Townhouse-Pool-Private Island,261868426,Dwayne L,Stann Creek,Stann Creek Mainland,16.5100040435791,-88.37228393554688,Entire home/apt,523,2,9,2025-03-09,0.41,99,298,4,
8030714,THE GECKO BUNGALOW! ** POOL**  Free Shuttle!,42386263,Michelle,Belize,Belize Mainland,17.56246,-88.31151,Private room,286,1,409,2025-03-17,3.53,3,308,65,
8206314,The Leigh Cayo House,25348156,Kristin,Cayo,Cayo,17.15011,-89.06999,Entire home/apt,429,2,25,2025-03-14,1.64,1,327,19,
8302632,The Island Cove apartment #1,43775096,Katrina,Belize,Belize Islands,17.91942,-87.96219,Entire home/apt,121,60,75,2021-01-01,0.67,4,364,0,
8326403,Sand Garden Rooms - Maya Room,43892918,Cristina,Stann Creek,Stann Creek Mainland,16.52441,-88.3695,Private room,,2,2,2019-04-20,0.03,1,0,0,
8365438,Parrot Nest Treehouse 2 (Gold Standard),22923135,Parrot Nest,Cayo,Cayo,17.17392,-89.10895,Private room,120,2,66,2025-03-10,0.59,8,346,4,
8403769,"Log Cabin Eco Monkey Reserve Shuttle AC, WIFi",44126263,David,Belize,Belize Mainland,17.57882,-88.53794,Entire home/apt,108,1,303,2025-03-15,2.66,1,336,28,
8485312,Botanical Paradise Caye Caulker,44687690,Michael,Belize,Belize Islands,17.73625,-88.02808,Entire home/apt,200,2,250,2024-12-14,2.17,1,202,18,
8500000,Beach Cottage AC/pool/dock beach/free paddleboards,13100806,Velento,Belize,Belize Islands,17.736036,-88.02671,Entire home/apt,397,1,77,2025-03-01,0.68,19,278,23,
8525257,Peaceful and private location,44890390,Frank,Belize,Belize Mainland,17.50957,-88.20387,Entire home/apt,91,2,82,2025-01-10,0.75,1,347,4,
8553990,The Vista Plaza Apartments,45026561,Moe,Belize,Belize Mainland,17.51499,-88.22403,Entire home/apt,,90,0,,,1,0,0,
8554620,Maya Breeze Basic Room,45000999,Maya,Stann Creek,Stann Creek Mainland,16.61322,-88.35501,Private room,,1,4,2016-06-09,0.04,4,0,0,
8579103,Seaside Villas 1 - Beach and Pool and Jacuzzi,604999,Bobbi,Belize,Belize Islands,17.74211,-88.02384,Entire home/apt,464,2,70,2025-03-05,0.63,18,306,13,
8626817,Economy Double Room #12,45374193,Rumors,Cayo,Cayo,17.12966,-89.09505,Hotel room,,1,7,2024-04-10,0.06,10,0,1,
8644923,Grand Baymen - 1 Bed/1 Bath Condo - Free WIFI,45444370,ECI Development,Belize,Belize Islands,17.91213,-87.97537,Entire home/apt,346,1,5,2024-12-29,0.05,11,364,1,
8713813,Jaguar Room w/AC @ All Seasons Belize,16831666,Tyler And Val,Stann Creek,Stann Creek Mainland,16.85165,-88.27942,Private room,103,2,90,2025-02-24,0.82,11,306,6,
8773199,Hopkins Room w/AC  @ All Seasons Belize,16831666,Tyler And Val,Stann Creek,Stann Creek Mainland,16.85202,-88.27942,Private room,172,1,70,2025-03-08,0.62,11,347,2,
